,obstacle_positions
33,"[[0, 147, -2, 145], [9, 64, 7, 62], [4, 3, 2, 1], [3, 237, 1, 235], [2, 151, 0, 149], [8, 153, 6, 151], [4, 289, 2, 287], [1, 192, -1, 190], [0, 188, -2, 186], [0, 18, -2, 16]]"
34,[]
35,"[[7, 262, 5, 260], [8, 225, 6, 223], [9, 299, 7, 297], [7, 200, 5, 198], [2, 229, 0, 227], [6, 247, 4, 245], [4, 91, 2, 89], [6, 183, 4, 181]]"
36,"[[0, 76, -2, 74], [7, 228, 5, 226]]"
37,"[[1, 102, -1, 100], [0, 244, -2, 242], [2, 288, 0, 286], [0, 279, -2, 277]]"
38,"[[4, 43, 2, 41], [4, 154, 2, 152], [18, 37, 16, 35], [1, 285, -1, 283]]"
39,"[[4, 227, 2, 225], [4, 218, 2, 216], [2, 150, 0, 148], [3, 106, 1, 104], [3, 112, 1, 110], [4, 4, 2, 2], [0, 114, -2, 112], [0, 190, -2, 188], [1, 118, -1, 116], [1, 82, -1, 80]]"
40,"[[0, 108, -2, 106]]"
41,"[[18, 200, 16, 198], [2, 205, 0, 203], [1, 97, -1, 95], [2, 148, 0, 146], [16, 118, 14, 116], [14, 145, 12, 143], [16, 141, 14, 139]]"
42,"[[3, 226, 1, 224], [1, 229, -1, 227], [2, 34, 0, 32], [1, 19, -1, 17], [3, 121, 1, 119], [7, 287, 5, 285], [3, 100, 1, 98], [6, 274, 4, 272]]"
43,"[[2, 188, 0, 186], [0, 208, -2, 206]]"
44,"[[6, 168, 4, 166], [2, 211, 0, 209], [14, 201, 12, 199], [1, 291, -1, 289], [17, 110, 15, 108], [12, 262, 10, 260], [15, 99, 13, 97], [9, 183, 7, 181], [18, 215, 16, 213]]"
45,"[[13, 68, 11, 66], [3, 108, 1, 106], [0, 36, -2, 34], [5, 99, 3, 97], [5, 159, 3, 157], [5, 235, 3, 233], [11, 130, 9, 128], [13, 58, 11, 56], [7, 227, 5, 225]]"
46,"[[13, 255, 11, 253]]"
47,"[[0, 173, -2, 171]]"
48,"[[0, 274, -2, 272], [2, 262, 0, 260], [1, 48, -1, 46]]"
49,"[[6, 197, 4, 195]]"
50,"[[4, 17, 2, 15], [4, 124, 2, 122], [1, 85, -1, 83]]"
51,"[[4, 295, 2, 293], [1, 115, -1, 113], [4, 51, 2, 49], [1, 236, -1, 234], [1, 235, -1, 233]]"
52,"[[1, 176, -1, 174], [3, 289, 1, 287], [3, 222, 1, 220]]"
53,"[[5, 53, 3, 51], [8, 274, 6, 272], [0, 252, -2, 250], [4, 44, 2, 42], [8, 107, 6, 105], [2, 205, 0, 203], [3, 146, 1, 144]]"
54,"[[4, 69, 2, 67], [2, 70, 0, 68], [3, 207, 1, 205]]"
55,"[[9, 100, 7, 98], [5, 102, 3, 100], [1, 193, -1, 191], [6, 31, 4, 29], [7, 278, 5, 276], [8, 226, 6, 224]]"
56,"[[3, 282, 1, 280], [4, 149, 2, 147], [6, 89, 4, 87], [1, 298, -1, 296], [7, 155, 5, 153], [6, 95, 4, 93], [5, 161, 3, 159], [8, 78, 6, 76], [4, 53, 2, 51], [5, 242, 3, 240]]"
57,"[[2, 68, 0, 66], [0, 151, -2, 149], [2, 3, 0, 1], [4, 84, 2, 82], [3, 271, 1, 269], [6, 186, 4, 184]]"
58,"[[1, 120, -1, 118], [0, 11, -2, 9], [1, 62, -1, 60], [2, 115, 0, 113], [0, 137, -2, 135], [2, 43, 0, 41], [0, 6, -2, 4], [2, 212, 0, 210], [1, 151, -1, 149]]"
59,"[[13, 39, 11, 37], [9, 248, 7, 246], [18, 268, 16, 266], [2, 203, 0, 201], [14, 122, 12, 120], [5, 214, 3, 212]]"
60,[]
61,"[[0, 112, -2, 110], [0, 134, -2, 132]]"
62,"[[13, 183, 11, 181], [4, 82, 2, 80], [8, 51, 6, 49], [4, 22, 2, 20]]"
63,"[[12, 19, 10, 17], [10, 257, 8, 255], [7, 132, 5, 130], [0, 263, -2, 261], [9, 55, 7, 53], [2, 21, 0, 19], [11, 99, 9, 97], [0, 119, -2, 117], [4, 214, 2, 212], [9, 62, 7, 60]]"
64,"[[0, 232, -2, 230], [11, 20, 9, 18]]"
65,"[[4, 37, 2, 35], [5, 60, 3, 58], [5, 3, 3, 1], [4, 27, 2, 25], [5, 101, 3, 99], [4, 96, 2, 94], [0, 71, -2, 69]]"
66,"[[6, 294, 4, 292], [4, 150, 2, 148], [3, 235, 1, 233], [7, 7, 5, 5], [1, 84, -1, 82], [5, 240, 3, 238]]"
67,"[[6, 292, 4, 290], [8, 60, 6, 58], [3, 47, 1, 45], [2, 184, 0, 182], [8, 66, 6, 64]]"
68,"[[12, 92, 10, 90], [12, 300, 10, 298], [0, 236, -2, 234], [8, 184, 6, 182], [2, 41, 0, 39], [1, 149, -1, 147]]"
69,"[[1, 201, -1, 199], [1, 272, -1, 270], [0, 143, -2, 141]]"
70,"[[12, 30, 10, 28], [9, 47, 7, 45], [9, 22, 7, 20], [10, 216, 8, 214], [10, 87, 8, 85], [17, 31, 15, 29], [6, 249, 4, 247], [13, 239, 11, 237], [7, 136, 5, 134], [4, 32, 2, 30]]"
71,"[[7, 243, 5, 241], [6, 242, 4, 240], [3, 80, 1, 78], [5, 45, 3, 43], [7, 288, 5, 286]]"
72,"[[19, 268, 17, 266], [18, 188, 16, 186], [9, 36, 7, 34]]"
73,"[[4, 284, 2, 282], [0, 10, -2, 8], [8, 269, 6, 267], [4, 254, 2, 252], [9, 229, 7, 227], [9, 24, 7, 22], [7, 284, 5, 282]]"
74,"[[4, 274, 2, 272], [8, 200, 6, 198], [2, 121, 0, 119], [0, 232, -2, 230], [4, 88, 2, 86], [7, 129, 5, 127], [4, 241, 2, 239], [8, 240, 6, 238]]"
75,"[[0, 187, -2, 185], [1, 93, -1, 91], [3, 153, 1, 151]]"
76,"[[0, 254, -2, 252], [15, 57, 13, 55], [3, 217, 1, 215], [18, 84, 16, 82], [1, 163, -1, 161], [8, 283, 6, 281]]"
77,"[[0, 227, -2, 225], [1, 111, -1, 109], [15, 145, 13, 143], [0, 259, -2, 257], [0, 34, -2, 32], [8, 35, 6, 33], [3, 293, 1, 291]]"
78,"[[1, 14, -1, 12], [1, 209, -1, 207], [3, 63, 1, 61], [3, 138, 1, 136], [4, 153, 2, 151], [1, 39, -1, 37], [1, 127, -1, 125], [7, 118, 5, 116], [0, 90, -2, 88], [1, 197, -1, 195]]"
79,"[[6, 255, 4, 253], [6, 8, 4, 6], [5, 53, 3, 51], [5, 195, 3, 193]]"
80,"[[9, 292, 7, 290], [7, 124, 5, 122], [1, 116, -1, 114], [2, 280, 0, 278], [0, 38, -2, 36], [0, 191, -2, 189], [10, 273, 8, 271], [15, 22, 13, 20], [3, 177, 1, 175], [2, 245, 0, 243]]"
81,"[[9, 166, 7, 164], [4, 225, 2, 223], [10, 134, 8, 132], [1, 203, -1, 201], [0, 188, -2, 186], [2, 91, 0, 89], [7, 134, 5, 132], [8, 172, 6, 170], [5, 19, 3, 17], [10, 84, 8, 82]]"
82,"[[2, 63, 0, 61], [7, 148, 5, 146], [1, 198, -1, 196], [7, 270, 5, 268], [1, 138, -1, 136]]"
83,"[[10, 20, 8, 18], [7, 185, 5, 183], [11, 280, 9, 278], [13, 133, 11, 131], [15, 67, 13, 65], [14, 123, 12, 121], [11, 201, 9, 199], [19, 86, 17, 84], [14, 8, 12, 6], [0, 171, -2, 169]]"
84,"[[2, 179, 0, 177], [1, 271, -1, 269], [2, 169, 0, 167], [2, 130, 0, 128], [1, 62, -1, 60], [2, 95, 0, 93], [1, 47, -1, 45], [2, 156, 0, 154], [0, 52, -2, 50]]"
85,"[[1, 185, -1, 183]]"
86,"[[13, 241, 11, 239], [8, 249, 6, 247], [8, 290, 6, 288], [1, 11, -1, 9], [2, 282, 0, 280], [2, 154, 0, 152], [3, 266, 1, 264], [14, 194, 12, 192], [2, 298, 0, 296]]"
87,"[[3, 32, 1, 30], [5, 253, 3, 251], [4, 297, 2, 295], [0, 192, -2, 190], [0, 249, -2, 247], [4, 204, 2, 202], [6, 246, 4, 244], [4, 36, 2, 34], [6, 89, 4, 87], [7, 215, 5, 213]]"
88,"[[8, 300, 6, 298], [12, 233, 10, 231], [8, 203, 6, 201], [2, 146, 0, 144], [10, 141, 8, 139], [3, 250, 1, 248], [8, 134, 6, 132], [0, 52, -2, 50]]"
89,"[[2, 66, 0, 64], [0, 271, -2, 269], [2, 103, 0, 101]]"
90,"[[1, 155, -1, 153], [3, 90, 1, 88], [3, 130, 1, 128], [2, 96, 0, 94], [2, 72, 0, 70]]"
91,"[[3, 110, 1, 108], [3, 138, 1, 136], [5, 224, 3, 222], [0, 138, -2, 136], [0, 226, -2, 224], [4, 295, 2, 293]]"
92,"[[1, 243, -1, 241], [14, 147, 12, 145], [8, 13, 6, 11], [1, 16, -1, 14]]"
93,"[[0, 71, -2, 69], [4, 103, 2, 101], [1, 75, -1, 73], [3, 38, 1, 36], [5, 27, 3, 25], [1, 266, -1, 264], [4, 288, 2, 286]]"
94,"[[8, 14, 6, 12], [2, 284, 0, 282]]"
95,"[[6, 58, 4, 56], [6, 157, 4, 155], [13, 225, 11, 223], [6, 28, 4, 26]]"
96,"[[2, 279, 0, 277], [3, 201, 1, 199], [1, 98, -1, 96], [2, 42, 0, 40], [1, 281, -1, 279], [1, 229, -1, 227], [3, 220, 1, 218], [3, 48, 1, 46]]"
97,"[[2, 119, 0, 117], [2, 112, 0, 110], [1, 187, -1, 185], [0, 54, -2, 52], [2, 103, 0, 101], [4, 84, 2, 82], [0, 251, -2, 249], [1, 197, -1, 195], [0, 250, -2, 248], [0, 166, -2, 164]]"
98,[]
99,"[[4, 168, 2, 166]]"
100,"[[6, 177, 4, 175], [2, 212, 0, 210], [3, 126, 1, 124]]"
101,"[[0, 61, -2, 59], [2, 88, 0, 86], [0, 3, -2, 1], [0, 233, -2, 231], [1, 5, -1, 3], [2, 113, 0, 111]]"
102,[]
103,"[[0, 175, -2, 173], [2, 185, 0, 183], [2, 292, 0, 290]]"
104,"[[5, 160, 3, 158]]"
105,"[[3, 274, 1, 272]]"
106,"[[5, 8, 3, 6], [3, 249, 1, 247], [11, 154, 9, 152], [5, 9, 3, 7], [4, 190, 2, 188], [4, 197, 2, 195], [12, 5, 10, 3], [2, 22, 0, 20], [8, 243, 6, 241], [12, 271, 10, 269]]"
107,"[[1, 18, -1, 16], [3, 294, 1, 292], [3, 82, 1, 80]]"
108,"[[3, 114, 1, 112], [7, 118, 5, 116], [10, 113, 8, 111], [7, 23, 5, 21], [1, 123, -1, 121]]"
109,"[[0, 227, -2, 225], [1, 66, -1, 64], [1, 200, -1, 198], [2, 176, 0, 174], [1, 86, -1, 84], [2, 197, 0, 195], [1, 191, -1, 189], [0, 198, -2, 196]]"
110,"[[2, 44, 0, 42], [0, 129, -2, 127], [3, 237, 1, 235], [2, 192, 0, 190], [3, 221, 1, 219], [0, 250, -2, 248], [1, 96, -1, 94], [1, 156, -1, 154], [3, 65, 1, 63], [2, 14, 0, 12]]"
111,"[[2, 147, 0, 145], [0, 50, -2, 48], [0, 54, -2, 52]]"
112,"[[9, 198, 7, 196], [7, 129, 5, 127], [9, 55, 7, 53], [5, 143, 3, 141], [7, 143, 5, 141]]"
113,"[[5, 122, 3, 120], [5, 157, 3, 155], [7, 124, 5, 122], [2, 160, 0, 158], [12, 3, 10, 1]]"
114,"[[8, 183, 6, 181], [6, 249, 4, 247], [1, 225, -1, 223], [8, 152, 6, 150]]"
115,"[[3, 128, 1, 126], [3, 105, 1, 103], [3, 278, 1, 276], [1, 277, -1, 275], [2, 148, 0, 146], [3, 209, 1, 207], [3, 133, 1, 131]]"
116,"[[16, 15, 14, 13], [2, 193, 0, 191], [16, 154, 14, 152]]"
117,"[[2, 212, 0, 210], [13, 151, 11, 149], [13, 15, 11, 13], [6, 90, 4, 88], [1, 144, -1, 142], [0, 88, -2, 86], [6, 256, 4, 254], [8, 91, 6, 89], [7, 46, 5, 44], [10, 118, 8, 116]]"
118,"[[15, 102, 13, 100], [8, 248, 6, 246], [2, 257, 0, 255], [0, 186, -2, 184], [2, 77, 0, 75], [1, 79, -1, 77], [16, 281, 14, 279], [3, 47, 1, 45], [0, 169, -2, 167]]"
119,"[[2, 242, 0, 240], [5, 162, 3, 160], [3, 272, 1, 270], [3, 69, 1, 67], [4, 27, 2, 25]]"
120,"[[1, 187, -1, 185], [5, 168, 3, 166], [8, 29, 6, 27], [0, 147, -2, 145], [8, 57, 6, 55], [2, 26, 0, 24]]"
121,"[[0, 48, -2, 46], [8, 168, 6, 166], [7, 34, 5, 32], [2, 138, 0, 136], [11, 285, 9, 283], [15, 39, 13, 37], [10, 102, 8, 100], [7, 131, 5, 129], [6, 24, 4, 22], [15, 169, 13, 167]]"
122,"[[13, 219, 11, 217], [13, 4, 11, 2], [12, 87, 10, 85], [4, 25, 2, 23], [13, 153, 11, 151]]"
123,"[[8, 176, 6, 174], [2, 291, 0, 289], [2, 169, 0, 167], [10, 180, 8, 178], [8, 25, 6, 23], [9, 252, 7, 250]]"
124,"[[3, 73, 1, 71], [2, 252, 0, 250], [1, 293, -1, 291]]"
125,"[[0, 53, -2, 51], [0, 106, -2, 104], [2, 259, 0, 257]]"
126,"[[5, 215, 3, 213], [13, 275, 11, 273], [12, 232, 10, 230], [15, 290, 13, 288], [12, 21, 10, 19], [5, 218, 3, 216], [9, 86, 7, 84], [2, 40, 0, 38]]"
127,[]
128,"[[17, 240, 15, 238], [2, 186, 0, 184], [9, 26, 7, 24], [11, 283, 9, 281], [4, 49, 2, 47], [7, 114, 5, 112]]"
129,"[[3, 122, 1, 120], [0, 237, -2, 235]]"
130,"[[1, 146, -1, 144], [6, 241, 4, 239], [0, 104, -2, 102]]"
131,"[[3, 258, 1, 256], [4, 165, 2, 163], [5, 132, 3, 130], [4, 37, 2, 35], [7, 79, 5, 77], [4, 222, 2, 220], [5, 108, 3, 106], [1, 189, -1, 187]]"
132,"[[6, 285, 4, 283]]"
133,"[[13, 80, 11, 78], [4, 86, 2, 84], [10, 96, 8, 94], [4, 176, 2, 174], [11, 222, 9, 220], [17, 67, 15, 65], [3, 51, 1, 49], [11, 245, 9, 243]]"
134,"[[3, 63, 1, 61]]"
135,"[[12, 162, 10, 160], [7, 37, 5, 35], [3, 279, 1, 277], [4, 59, 2, 57], [16, 135, 14, 133], [5, 70, 3, 68], [17, 143, 15, 141], [17, 190, 15, 188], [0, 112, -2, 110]]"
136,"[[7, 140, 5, 138], [10, 275, 8, 273], [14, 183, 12, 181], [10, 294, 8, 292], [0, 120, -2, 118], [2, 96, 0, 94], [5, 58, 3, 56]]"
137,"[[4, 95, 2, 93], [3, 15, 1, 13], [3, 146, 1, 144], [5, 135, 3, 133], [2, 59, 0, 57], [6, 233, 4, 231], [2, 249, 0, 247], [5, 136, 3, 134]]"
138,"[[3, 221, 1, 219]]"
139,"[[2, 158, 0, 156], [3, 174, 1, 172], [0, 76, -2, 74]]"
140,"[[10, 211, 8, 209], [12, 226, 10, 224], [14, 88, 12, 86], [2, 256, 0, 254], [12, 299, 10, 297], [0, 127, -2, 125], [11, 201, 9, 199], [7, 113, 5, 111]]"
141,"[[0, 131, -2, 129], [1, 228, -1, 226], [9, 220, 7, 218], [10, 246, 8, 244], [4, 82, 2, 80], [3, 201, 1, 199], [1, 90, -1, 88]]"
142,"[[4, 291, 2, 289], [2, 253, 0, 251], [18, 111, 16, 109]]"
143,"[[5, 177, 3, 175], [8, 62, 6, 60], [11, 297, 9, 295], [11, 112, 9, 110], [10, 124, 8, 122], [14, 193, 12, 191]]"
144,"[[2, 184, 0, 182], [3, 293, 1, 291], [1, 140, -1, 138], [1, 179, -1, 177], [1, 110, -1, 108], [2, 51, 0, 49], [3, 26, 1, 24], [4, 95, 2, 93], [0, 242, -2, 240]]"
145,"[[0, 45, -2, 43], [11, 292, 9, 290]]"
146,"[[2, 99, 0, 97], [3, 296, 1, 294], [4, 222, 2, 220], [0, 59, -2, 57], [0, 30, -2, 28]]"
147,"[[13, 13, 11, 11], [13, 29, 11, 27], [2, 249, 0, 247], [3, 167, 1, 165], [8, 239, 6, 237], [3, 57, 1, 55], [5, 2, 3, 0], [4, 264, 2, 262], [10, 181, 8, 179], [16, 288, 14, 286]]"
148,"[[12, 96, 10, 94]]"
149,"[[0, 126, -2, 124], [2, 76, 0, 74], [13, 249, 11, 247], [2, 174, 0, 172], [8, 198, 6, 196], [17, 256, 15, 254], [6, 120, 4, 118], [5, 258, 3, 256], [8, 82, 6, 80], [1, 151, -1, 149]]"
150,"[[0, 116, -2, 114], [2, 129, 0, 127], [5, 249, 3, 247], [5, 30, 3, 28], [4, 20, 2, 18], [3, 262, 1, 260]]"
151,"[[2, 70, 0, 68], [6, 40, 4, 38]]"
152,"[[9, 252, 7, 250], [6, 233, 4, 231], [4, 95, 2, 93], [6, 31, 4, 29], [1, 78, -1, 76], [0, 197, -2, 195], [9, 231, 7, 229], [5, 254, 3, 252], [6, 163, 4, 161], [9, 237, 7, 235]]"
153,"[[2, 264, 0, 262], [2, 88, 0, 86], [0, 81, -2, 79], [1, 166, -1, 164]]"
154,"[[11, 185, 9, 183], [4, 226, 2, 224], [2, 79, 0, 77], [11, 97, 9, 95], [4, 180, 2, 178], [11, 43, 9, 41]]"
155,"[[11, 244, 9, 242], [11, 220, 9, 218], [17, 184, 15, 182], [10, 161, 8, 159], [1, 150, -1, 148], [9, 197, 7, 195]]"
156,"[[7, 245, 5, 243], [6, 120, 4, 118], [3, 76, 1, 74], [3, 30, 1, 28], [1, 198, -1, 196], [5, 248, 3, 246]]"
157,[]
158,"[[1, 68, -1, 66], [4, 282, 2, 280], [3, 101, 1, 99], [2, 209, 0, 207], [5, 239, 3, 237], [6, 285, 4, 283], [1, 194, -1, 192], [5, 116, 3, 114], [0, 220, -2, 218], [1, 192, -1, 190]]"
159,[]
160,[]
161,"[[16, 247, 14, 245], [14, 60, 12, 58], [15, 283, 13, 281], [0, 201, -2, 199], [9, 268, 7, 266]]"
162,"[[0, 204, -2, 202], [4, 77, 2, 75], [10, 241, 8, 239], [5, 120, 3, 118], [0, 261, -2, 259], [9, 298, 7, 296], [11, 11, 9, 9]]"
163,"[[6, 230, 4, 228], [3, 287, 1, 285], [2, 133, 0, 131]]"
164,[]
165,"[[11, 58, 9, 56], [13, 64, 11, 62], [6, 248, 4, 246], [6, 79, 4, 77], [1, 178, -1, 176], [2, 246, 0, 244], [10, 93, 8, 91], [0, 77, -2, 75]]"
166,"[[10, 104, 8, 102], [3, 122, 1, 120], [11, 233, 9, 231], [15, 275, 13, 273], [5, 212, 3, 210], [6, 44, 4, 42], [3, 6, 1, 4]]"
167,"[[2, 92, 0, 90], [0, 90, -2, 88], [2, 99, 0, 97], [2, 165, 0, 163], [1, 90, -1, 88], [1, 5, -1, 3]]"
168,"[[0, 6, -2, 4], [1, 157, -1, 155], [1, 211, -1, 209], [1, 140, -1, 138], [1, 104, -1, 102], [0, 249, -2, 247], [2, 283, 0, 281], [0, 46, -2, 44]]"
169,"[[14, 43, 12, 41], [12, 114, 10, 112], [17, 43, 15, 41], [13, 68, 11, 66], [0, 201, -2, 199], [11, 290, 9, 288], [7, 70, 5, 68]]"
170,"[[1, 287, -1, 285]]"
171,"[[1, 27, -1, 25], [0, 184, -2, 182], [5, 120, 3, 118], [1, 275, -1, 273], [0, 75, -2, 73], [3, 218, 1, 216]]"
172,"[[13, 283, 11, 281], [16, 227, 14, 225], [15, 64, 13, 62], [14, 113, 12, 111], [8, 240, 6, 238], [12, 62, 10, 60], [9, 38, 7, 36], [11, 244, 9, 242], [14, 11, 12, 9]]"
173,"[[3, 81, 1, 79], [3, 261, 1, 259], [9, 119, 7, 117], [0, 93, -2, 91], [5, 298, 3, 296], [4, 239, 2, 237], [7, 171, 5, 169]]"
174,"[[6, 45, 4, 43], [0, 10, -2, 8], [13, 126, 11, 124]]"
175,"[[5, 215, 3, 213], [4, 52, 2, 50], [1, 249, -1, 247]]"
176,"[[0, 248, -2, 246], [1, 128, -1, 126], [3, 63, 1, 61], [1, 57, -1, 55]]"
177,"[[4, 25, 2, 23], [2, 274, 0, 272], [13, 268, 11, 266], [9, 239, 7, 237], [6, 274, 4, 272], [6, 288, 4, 286], [16, 177, 14, 175]]"
178,"[[5, 126, 3, 124], [1, 88, -1, 86], [5, 70, 3, 68], [5, 86, 3, 84], [7, 7, 5, 5], [9, 16, 7, 14], [13, 129, 11, 127], [2, 106, 0, 104], [11, 297, 9, 295], [4, 237, 2, 235]]"
179,[]
180,"[[16, 78, 14, 76], [12, 55, 10, 53], [7, 126, 5, 124], [10, 251, 8, 249], [5, 227, 3, 225], [8, 76, 6, 74], [6, 129, 4, 127], [4, 132, 2, 130], [4, 273, 2, 271]]"
181,"[[0, 24, -2, 22], [0, 170, -2, 168], [1, 274, -1, 272], [1, 27, -1, 25]]"
182,"[[2, 85, 0, 83], [3, 294, 1, 292], [0, 189, -2, 187], [2, 58, 0, 56], [4, 277, 2, 275], [3, 220, 1, 218], [0, 175, -2, 173], [0, 30, -2, 28], [3, 298, 1, 296], [3, 96, 1, 94]]"
183,"[[5, 27, 3, 25], [5, 285, 3, 283], [1, 27, -1, 25], [2, 61, 0, 59]]"
184,[]
185,"[[0, 230, -2, 228], [1, 221, -1, 219], [0, 249, -2, 247], [4, 79, 2, 77], [1, 277, -1, 275], [2, 222, 0, 220], [6, 64, 4, 62], [0, 43, -2, 41], [9, 127, 7, 125], [9, 186, 7, 184]]"
186,[]
187,"[[11, 40, 9, 38], [4, 195, 2, 193], [0, 266, -2, 264], [0, 182, -2, 180], [11, 57, 9, 55], [9, 270, 7, 268]]"
188,"[[0, 183, -2, 181], [2, 17, 0, 15], [2, 213, 0, 211], [1, 87, -1, 85], [0, 3, -2, 1], [0, 299, -2, 297], [2, 131, 0, 129], [2, 13, 0, 11]]"
189,"[[13, 229, 11, 227], [17, 198, 15, 196], [1, 222, -1, 220], [11, 42, 9, 40], [7, 133, 5, 131], [7, 157, 5, 155], [5, 266, 3, 264]]"
190,"[[7, 70, 5, 68], [4, 209, 2, 207], [6, 250, 4, 248], [6, 275, 4, 273], [2, 286, 0, 284]]"
